feature,importance
treasury_slope,0.3240900393853146
vix_level,0.2233360743427582
ret,0.11144764501062313
asset_growth,0.04852501245890857
quoted_spread,0.04190541862378743
operating_profitability,0.04112337159900184
book_equity,0.02464204983528213
adv_dollar,0.02280500205247003
atm_iv_60,0.022113393918103123
atm_iv_91,0.02099064197154533
atm_iv_30,0.020821071369110353
cash_assets,0.020275611482071864
gross_profitability,0.017152119561918498
skew_25d_x_vix_level,0.01072596026299533
leverage,0.010500182064559972
atm_iv_30_x_cash_assets,0.007622987089053927
skew_25d,0.007496694702556655
tail_slope_10p_25p,0.006445134576605333
term_slope,0.005210983161777634
curvature,0.005083177560855008
skew_25d_x_leverage,0.003995226247134662
tail_slope_10p_25p_x_asset_growth,0.0036922027235664285
