strategy,eta,n_months,avg_n_names,gross_ann_mean,gross_sharpe,net_ann_mean,net_sharpe,avg_turnover,avg_cost,p95_participation
ml_score_liquid,0.05,155,309.3677419354839,0.0014396312068751102,0.027017698239814477,-0.0019707700298234035,-0.03699893993327076,0.8031973590049167,0.00028420010305821005,0.002209178406386595
ml_score_liquid,0.1,155,309.3677419354839,0.0014396312068751102,0.027017698239814477,-0.0028109515681785683,-0.05277737164238449,0.8031973590049167,0.0003542152312544731,0.002209178406386595
ml_score_liquid,0.2,155,309.3677419354839,0.0014396312068751102,0.027017698239814477,-0.00449131464488888,-0.08434219664306693,0.8031973590049167,0.0004942454876469994,0.002209178406386595
ml_score_liquid_quarterly_smooth3,0.05,155,303.7741935483871,0.0027315659168544518,0.05894401342970846,0.0017543349102757532,0.0379136252418283,0.23368398350954722,8.143591721489176e-05,0.0015746823318423106
ml_score_liquid_quarterly_smooth3,0.1,155,303.7741935483871,0.0027315659168544518,0.05894401342970846,0.0015118013454899762,0.032682832271479945,0.23368398350954722,0.00010164704761370631,0.0015746823318423106
ml_score_liquid_quarterly_smooth3,0.2,155,303.7741935483871,0.0027315659168544518,0.05894401342970846,0.0010267342159184267,0.022210583676776724,0.23368398350954722,0.0001420693084113354,0.0015746823318423106
tail_composite_aggressive_investment,0.05,152,150.30263157894737,-0.0030052338416191155,-0.05726764491895459,-0.006921690228325759,-0.1320882740572577,0.7754115649185888,0.00032637136555888714,0.004827033306527966
tail_composite_aggressive_investment,0.1,152,150.30263157894737,-0.0030052338416191155,-0.05726764491895459,-0.008257989638067995,-0.15765646858853272,0.7754115649185888,0.0004377296497040735,0.004827033306527966
tail_composite_aggressive_investment,0.2,152,150.30263157894737,-0.0030052338416191155,-0.05726764491895459,-0.01093058845755247,-0.20885376378369866,0.7754115649185888,0.0006604462179944465,0.004827033306527966
tail_composite_constrained,0.05,152,157.44078947368422,-0.005479935356552541,-0.10449876568943811,-0.008649825088787212,-0.16504059086505704,0.7660276277811547,0.0002641574776862227,0.003641444012452712
tail_composite_constrained,0.1,152,157.44078947368422,-0.005479935356552541,-0.10449876568943811,-0.009655433655561714,-0.1842856684564461,0.7660276277811547,0.00034795819158409764,0.003641444012452712
tail_composite_constrained,0.2,152,157.44078947368422,-0.005479935356552541,-0.10449876568943811,-0.011666650789110713,-0.22280933892911423,0.7660276277811547,0.0005155596193798477,0.003641444012452712
tail_composite_high_drawdown,0.05,18,313.8333333333333,-0.03454201405504935,-0.5407025392091867,-0.038258657124650694,-0.5988384242575936,0.8281274100504659,0.0003097202558001112,0.0016565993719524646
tail_composite_high_drawdown,0.1,18,313.8333333333333,-0.03454201405504935,-0.5407025392091867,-0.03931754640541548,-0.6154304832647468,0.8281274100504659,0.00039796102919717626,0.0016565993719524646
tail_composite_high_drawdown,0.2,18,313.8333333333333,-0.03454201405504935,-0.5407025392091867,-0.04143532496694504,-0.6486102357669706,0.8281274100504659,0.0005744425759913065,0.0016565993719524646
tail_composite_high_vix,0.05,69,319.7391304347826,-0.0087240517443528,-0.16011278632984066,-0.012359747232312375,-0.22687528872318016,0.8232222793063184,0.0003029746239966312,0.0016219762824837957
tail_composite_high_vix,0.1,69,319.7391304347826,-0.0087240517443528,-0.16011278632984066,-0.013309862360187994,-0.2443725219400621,0.8232222793063184,0.0003821508846529326,0.0016219762824837957
tail_composite_high_vix,0.2,69,319.7391304347826,-0.0087240517443528,-0.16011278632984066,-0.015210092615939228,-0.2793884021733994,0.8232222793063184,0.0005405034059655356,0.0016219762824837957
tail_composite_large_liquid,0.05,152,192.41447368421052,-0.010503090174113544,-0.23325360917656235,-0.012937595126026932,-0.28728909048265416,0.7597111732451108,0.00020287541265944916,0.0017998817508148833
tail_composite_large_liquid,0.1,152,192.41447368421052,-0.010503090174113544,-0.23325360917656235,-0.013613047430585013,-0.30229111802732145,0.7597111732451108,0.00025916310470595585,0.0017998817508148833
tail_composite_large_liquid,0.2,152,192.41447368421052,-0.010503090174113544,-0.23325360917656235,-0.014963952039701177,-0.3322928013223408,0.7597111732451108,0.0003717384887989693,0.0017998817508148833
tail_composite_large_liquid_quarterly_smooth3,0.05,155,189.36774193548388,-0.008582009697981301,-0.1913731815913924,-0.009338457453662973,-0.20851453707772488,0.2353135412696897,6.303731297347247e-05,0.001626548090421029
tail_composite_large_liquid_quarterly_smooth3,0.1,155,189.36774193548388,-0.008582009697981301,-0.1913731815913924,-0.009544201697773988,-0.21318106109390111,0.2353135412696897,8.018266664939038e-05,0.001626548090421029
tail_composite_large_liquid_quarterly_smooth3,0.2,155,189.36774193548388,-0.008582009697981301,-0.1913731815913924,-0.009955690185996017,-0.2225208359823709,0.2353135412696897,0.00011447337400122624,0.001626548090421029
tail_composite_liquid,0.05,152,305.67105263157896,-0.009398730243099875,-0.1975693082549912,-0.012429921784314114,-0.26127702100174083,0.7716095526320036,0.00025259929510118665,0.0019459116160733504
tail_composite_liquid,0.1,152,305.67105263157896,-0.009398730243099875,-0.1975693082549912,-0.013263965022730412,-0.2788404920013896,0.7716095526320036,0.00032210289830254465,0.0019459116160733504
tail_composite_liquid,0.2,152,305.67105263157896,-0.009398730243099875,-0.1975693082549912,-0.014932051499563006,-0.31397623583161405,0.7716095526320036,0.00046111010470526066,0.0019459116160733504
tail_composite_liquid_quarterly_smooth3,0.05,155,300.8258064516129,-0.010929643418432422,-0.22401992255894873,-0.011862363780046663,-0.2435008967689834,0.23049708573187153,7.77266968011872e-05,0.0017120441296207402
tail_composite_liquid_quarterly_smooth3,0.1,155,300.8258064516129,-0.010929643418432422,-0.22401992255894873,-0.012120802459641637,-0.24891992485793296,0.23049708573187153,9.926325343410134e-05,0.0017120441296207402
tail_composite_liquid_quarterly_smooth3,0.2,155,300.8258064516129,-0.010929643418432422,-0.22401992255894873,-0.012637679818831578,-0.2597682801811876,0.23049708573187153,0.0001423363666999296,0.0017120441296207402
tail_composite_low_vix,0.05,83,293.9759036144578,-0.009959607549287201,-0.24117575200654218,-0.012639283698266182,-0.3059049397422707,0.7796060357081334,0.0002233063457482479,0.002002094669700502
